"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript JSX", "TypeScript", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\HistoryRideDetail\RiderDetail.test.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 6, 5, 31
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\HistoryRideDetail\RiderInfo.test.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 1, 4, 31
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\HistoryRideDetail\VehicleInfo.test.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Home\DateTimePickerSheet.test.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 5, 9, 67
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Home\Header.test.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 3, 6, 45
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Home\MapComponent.test.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 1, 3, 30
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Home\NoOfSeatSheet.test.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 3, 4, 31
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Home\RideInfoCard.test.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 6, 6, 65
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\LoadingIndicator.test.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Message\MessageHeader.test.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 9, 6, 57
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Message\MessageInput.test.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 5, 5, 32
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Message\MessageItemAndList.test.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 8, 7, 65
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\MyStatusBar.test.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\OfferRide\CarInfo.test.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 1, 13, 60
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\OfferRide\CarSelectionSheet.test.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 3, 6, 38
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\OfferRide\ContinueButton.test.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\OfferRide\FacilityInfo.test.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\OfferRide\LocationInfo.test.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 1, 4, 24
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\OfferRide\PriceInfo.test.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 1, 2, 18
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\OfferRide\SeatInfo.test.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\OfferRide\SeatSelectionSheet.test.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 1, 5, 35
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\PaymentMethods\PaymentMethodItem.test.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 5, 8, 56
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\PaymentMethods\PaymentMethodList.test.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 3, 4, 30
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\PickLocation\LocationFooter.test.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 1, 4, 32
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\PickLocation\LocationSearchHeader.test.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 6, 5, 60
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\PickLocation\PickLocationMap.test.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 3, 5, 49
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Profile\Divider.test.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 2, 17
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Profile\LogoutDialog.test.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 1, 8, 57
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Profile\ProfileInputField.test.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 3, 6, 63
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Profile\ProfileOption.test.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 2, 2, 24
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Profile\ProfilePicture.test.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 3, 4, 42
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Profile\UpdateButton.test.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideDetail\CancelRideDialog.test.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 3, 7, 33
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideDetail\PassengerDetail.test.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 2, 3, 33
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideDetail\ReviewInfo.test.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 3, 4, 24
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideDetail\RideDetailFooter.test.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 1, 6, 46
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideDetail\RideDetailHeader.test.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideDetail\RiderDetail.test.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
