"filename", "language", "JSON with Comments", "JSON", "TypeScript JSX", "Markdown", "JavaScript", "TypeScript", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\locales\en.js", "JavaScript", 0, 0, 0, 0, 45, 0, 0, 1, 46
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\locales\lt.js", "JavaScript", 0, 0, 0, 0, 45, 0, 0, 3, 48
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\navigations\AdditionalNavigation.tsx", "TypeScript JSX", 0, 0, 22, 0, 0, 0, 2, 6, 30
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\navigations\AppNavigation.tsx", "TypeScript JSX", 0, 0, 41, 0, 0, 0, 0, 6, 47
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\navigations\EntryNavigation.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 0, 0, 3, 27
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\navigations\HomeNavigation.tsx", "TypeScript JSX", 0, 0, 53, 0, 0, 0, 0, 2, 55
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\navigations\InfoNavigation.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\navigations\JourneyNavigation.tsx", "TypeScript JSX", 0, 0, 54, 0, 0, 0, 0, 2, 56
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\navigations\MainNavigation.tsx", "TypeScript JSX", 0, 0, 81, 0, 0, 0, 2, 9, 92
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\navigations\ProfileNavigation.tsx", "TypeScript JSX", 0, 0, 84, 0, 0, 0, 0, 4, 88
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\navigations\SettingsNavigation.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\navigations\WalletNavigation.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 0, 6, 5, 36
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\navigations\navigation.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Entry\ForgotPassword.tsx", "TypeScript JSX", 0, 0, 163, 0, 0, 0, 0, 5, 168
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Entry\Login.tsx", "TypeScript JSX", 0, 0, 163, 0, 0, 0, 0, 13, 176
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Entry\MainInfo.tsx", "TypeScript JSX", 0, 0, 140, 0, 0, 0, 0, 7, 147
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Entry\Register.tsx", "TypeScript JSX", 0, 0, 160, 0, 0, 0, 0, 5, 165
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Entry\auth\loginScreen.js", "JavaScript", 0, 0, 0, 0, 174, 0, 0, 14, 188
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Entry\auth\registerScreen.js", "JavaScript", 0, 0, 0, 0, 191, 0, 0, 13, 204
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Entry\auth\verificationScreen.js", "JavaScript", 0, 0, 0, 0, 236, 0, 0, 17, 253
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Main\Home.tsx", "TypeScript JSX", 0, 0, 174, 0, 0, 0, 0, 12, 186
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Main\Journey.tsx", "TypeScript JSX", 0, 0, 226, 0, 0, 0, 0, 29, 255
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Main\Settings.tsx", "TypeScript JSX", 0, 0, 348, 0, 0, 0, 6, 19, 373
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Main\Wallet.tsx", "TypeScript JSX", 0, 0, 189, 0, 0, 0, 3, 12, 204
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Main\homeScreen.js", "JavaScript", 0, 0, 0, 0, 810, 0, 4, 30, 844
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateAdditional\reviews\reviewsScreen.js", "JavaScript", 0, 0, 0, 0, 145, 0, 0, 5, 150
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateInfo\notifications\notificationsScreen.js", "JavaScript", 0, 0, 0, 0, 196, 0, 0, 15, 211
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\addVehicle\addVehicleScreen.js", "JavaScript", 0, 0, 0, 0, 336, 0, 0, 15, 351
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\availableRides\availableRidesScreen.js", "JavaScript", 0, 0, 0, 0, 280, 0, 0, 11, 291
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\confirmPooling\confirmPoolingScreen.js", "JavaScript", 0, 0, 0, 0, 75, 0, 0, 7, 82
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\endRide\endRideScreen.js", "JavaScript", 0, 0, 0, 0, 474, 0, 4, 14, 492
