"filename", "language", "JavaScript", "JSON with Comments", "TypeScript JSX", "TypeScript", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideDetail\PassengerDetail.test.js", "JavaScript", 28, 0, 0, 0, 0, 0, 2, 3, 33
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideDetail\ReviewInfo.test.js", "JavaScript", 17, 0, 0, 0, 0, 0, 3, 4, 24
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideDetail\RideDetailFooter.test.js", "JavaScript", 39, 0, 0, 0, 0, 0, 1, 6, 46
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideDetail\RideDetailHeader.test.js", "JavaScript", 11, 0, 0, 0, 0, 0, 1, 2, 14
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideDetail\VehicleInfo.test.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\RideMapView\RideInfoSheet.test.js", "JavaScript", 30, 0, 0, 0, 0, 0, 4, 6, 40
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Rides\RideItem.test.js", "JavaScript", 31, 0, 0, 0, 0, 0, 2, 6, 39
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Settings\DeleteAccountModal.test.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 8, 35
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Settings\OptionsList.test.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 7, 33
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\StartRide\DirectionInfo.test.js", "JavaScript", 24, 0, 0, 0, 0, 0, 4, 3, 31
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\StartRide\RideInfoSheet.test.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Transactions\TransactionItem.test.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Transactions\TransactionList.test.js", "JavaScript", 14, 0, 0, 0, 0, 0, 1, 3, 18
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\UserVehicleScreen\StatusModal.test.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\UserVehicleScreen\VehiclesList.test.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Wallet\WalletHeader.test.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\AuthProvider.integration.test.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 9, 53
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useAddVehicle.test.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 8, 84
