"filename", "language", "JSON", "JavaScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\OfferRide\LocationInfo.js", "JavaScript", 0, 83, 0, 1, 5, 89
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\OfferRide\PriceInfo.js", "JavaScript", 0, 31, 0, 1, 4, 36
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\OfferRide\SeatInfo.js", "JavaScript", 0, 40, 0, 1, 4, 45
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\OfferRide\SeatSelectionSheet.js", "JavaScript", 0, 64, 0, 1, 4, 69
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\PaymentMethods\PaymentMethodItem.js", "JavaScript", 0, 59, 0, 1, 4, 64
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\PaymentMethods\PaymentMethodList.js", "JavaScript", 0, 25, 0, 1, 4, 30
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\PickLocation\LocationFooter.js", "JavaScript", 0, 57, 0, 1, 4, 62
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\PickLocation\LocationSearchHeader.js", "JavaScript", 0, 109, 0, 1, 4, 114
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\PickLocation\PickLocationMap.js", "JavaScript", 0, 36, 0, 1, 4, 41
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Profile\ProfileInputField.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 2
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Profile\ProfilePicture.js", "JavaScript", 0, 46, 0, 1, 2, 49
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideDetail\CancelRideDialog.js", "JavaScript", 0, 52, 0, 1, 4, 57
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideDetail\PassengerDetail.js", "JavaScript", 0, 50, 0, 1, 5, 56
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideDetail\ReviewInfo.js", "JavaScript", 0, 74, 0, 1, 4, 79
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideDetail\RideDetailFooter.js", "JavaScript", 0, 60, 0, 1, 4, 65
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideDetail\RideDetailHeader.js", "JavaScript", 0, 21, 0, 1, 3, 25
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideDetail\RiderDetail.js", "JavaScript", 0, 97, 0, 1, 3, 101
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideDetail\RiderInfo.js", "JavaScript", 0, 51, 0, 1, 3, 55
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideDetail\VehicleInfo.js", "JavaScript", 0, 31, 0, 1, 4, 36
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideHistory\EmptyRideList.js", "JavaScript", 0, 25, 0, 1, 3, 29
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideHistory\RideHistoryItem.js", "JavaScript", 0, 120, 0, 1, 4, 125
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideHistory\RideHistoryList.js", "JavaScript", 0, 17, 0, 1, 3, 21
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideHistory\RidesHeader.js", "JavaScript", 0, 52, 0, 1, 3, 56
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideMapView\DirectionMap.js", "JavaScript", 0, 95, 0, 1, 6, 102
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideMapView\RideInfoSheet.js", "JavaScript", 0, 140, 0, 1, 9, 150
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideMapView\VerticalDashLine.js", "JavaScript", 0, 16, 0, 1, 3, 20
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideRequest\RequestItem.js", "JavaScript", 0, 152, 0, 1, 8, 161
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideRequest\RequestList.js", "JavaScript", 0, 23, 0, 1, 4, 28
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideRequest\RequestSheet.js", "JavaScript", 0, 142, 0, 2, 7, 151
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Rides\NoRidesInfo.js", "JavaScript", 0, 25, 0, 1, 3, 29
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Rides\RideItem.js", "JavaScript", 0, 120, 0, 1, 4, 125
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Rides\RidesHeader.js", "JavaScript", 0, 50, 0, 1, 4, 55
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Rides\RidesList.js", "JavaScript", 0, 17, 0, 1, 2, 20
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Settings\DeleteAccountModal.js", "JavaScript", 0, 72, 0, 0, 4, 76
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Settings\MapSettingsModal.js", "JavaScript", 0, 89, 0, 0, 4, 93
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Settings\OptionsList.js", "JavaScript", 0, 46, 0, 0, 4, 50
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Settings\PasswordModal.js", "JavaScript", 0, 85, 0, 0, 4, 89
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Settings\ProfileSection.js", "JavaScript", 0, 52, 0, 2, 7, 61
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\StartRide\DirectionInfo.js", "JavaScript", 0, 140, 0, 1, 4, 145
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\StartRide\RideInfoSheet.js", "JavaScript", 0, 201, 0, 1, 8, 210
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\StartRide\StartRideButton.js", "JavaScript", 0, 17, 0, 1, 3, 21
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\StartRide\VerticalDashLine.js", "JavaScript", 0, 16, 0, 1, 3, 20
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Transactions\TransactionItem.js", "JavaScript", 0, 56, 0, 1, 4, 61
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Transactions\TransactionList.js", "JavaScript", 0, 20, 0, 1, 4, 25
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\UserVehicleScreen\AddVehicleButton.js", "JavaScript", 0, 30, 0, 0, 4, 34
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\UserVehicleScreen\SnackBarComponent.js", "JavaScript", 0, 18, 0, 0, 3, 21
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\UserVehicleScreen\StatusModal.js", "JavaScript", 0, 52, 0, 0, 4, 56
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\UserVehicleScreen\VehicleItem.js", "JavaScript", 0, 79, 0, 1, 5, 85
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\UserVehicleScreen\VehiclesList.js", "JavaScript", 0, 29, 0, 0, 4, 33
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Wallet\BalanceInfo.js", "JavaScript", 0, 58, 0, 1, 7, 66
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Wallet\WalletHeader.js", "JavaScript", 0, 19, 0, 1, 4, 24
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Wallet\WalletImage.js", "JavaScript", 0, 22, 0, 1, 4, 27
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Wallet\WalletOption.js", "JavaScript", 0, 63, 0, 2, 5, 70
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\hooks\useAddVehicle.js", "JavaScript", 0, 43, 0, 1, 6, 50
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\hooks\useDeleteAccount.js", "JavaScript", 0, 18, 0, 0, 4, 22
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\hooks\useDriver.js", "JavaScript", 0, 26, 0, 1, 5, 32
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\hooks\useFindMatchingJourneys.js", "JavaScript", 0, -4, 0, 4, 0, 0
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\hooks\useLocation.js", "JavaScript", 0, 20, 0, 3, 4, 27
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\hooks\useMapSettings.js", "JavaScript", 0, 62, 0, 0, 7, 69
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\hooks\usePasswordChange.js", "JavaScript", 0, 35, 0, 0, 4, 39
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\hooks\useUserVehicles.js", "JavaScript", 0, 73, 0, 0, 9, 82
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Main\Settings.tsx", "TypeScript JSX", 0, 0, -288, -6, -11, -305
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\Main\homeScreen.js", "JavaScript", 0, -673, 0, -2, -21, -696
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\addVehicle\addVehicleScreen.js", "JavaScript", 0, -238, 0, 0, -8, -246
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\availableRides\availableRidesScreen.js", "JavaScript", 0, -69, 0, 3, 0, -66
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\endRide\EndRideStyles.js", "JavaScript", 0, 40, 0, 0, 3, 43
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\endRide\endRideScreen.js", "JavaScript", 0, -336, 0, -2, -10, -348
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\historyRideDetail\historyRideDetailScreen.js", "JavaScript", 0, -361, 0, 0, -16, -377
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\message\messageScreen.js", "JavaScript", 0, -188, 0, 1, -5, -192
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\offerRide\offerRideScreen.js", "JavaScript", 0, -354, 0, 3, -11, -362
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\pickLocation\pickLocationScreen.js", "JavaScript", 0, -216, 0, 3, -13, -226
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\rideDetail\rideDetailScreen.js", "JavaScript", 0, -572, 0, 1, -19, -590
