"filename", "language", "JSON", "JSON with Comments", "JavaScript", "Markdown", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\HistoryRideDetail\RiderInfo.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 4, 44
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\HistoryRideDetail\VehicleInfo.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 4, 35
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Home\DateTimePickerSheet.js", "JavaScript", 0, 0, 167, 0, 0, 0, 1, 4, 172
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Home\Header.js", "JavaScript", 0, 0, 79, 0, 0, 0, 0, 6, 85
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Home\MapComponent.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Home\NoOfSeatSheet.js", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 6, 68
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Home\RideInfoCard.js", "JavaScript", 0, 0, 213, 0, 0, 0, 0, 7, 220
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\LoadingIndicator.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Message\MessageHeader.js", "JavaScript", 0, 0, 39, 0, 0, 0, 1, 4, 44
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Message\MessageInput.js", "JavaScript", 0, 0, 66, 0, 0, 0, 1, 5, 72
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Message\MessageItem.js", "JavaScript", 0, 0, 56, 0, 0, 0, 1, 4, 61
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Message\MessageList.js", "JavaScript", 0, 0, 23, 0, 0, 0, 1, 3, 27
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\OfferRide\CarInfo.js", "JavaScript", 0, 0, 38, 0, 0, 0, 1, 4, 43
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\OfferRide\CarSelectionSheet.js", "JavaScript", 0, 0, 59, 0, 0, 0, 1, 4, 64
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\OfferRide\ContinueButton.js", "JavaScript", 0, 0, 17, 0, 0, 0, 1, 3, 21
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\OfferRide\FacilityInfo.js", "JavaScript", 0, 0, 37, 0, 0, 0, 1, 4, 42
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\OfferRide\LocationInfo.js", "JavaScript", 0, 0, 83, 0, 0, 0, 1, 5, 89
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\OfferRide\PriceInfo.js", "JavaScript", 0, 0, 31, 0, 0, 0, 1, 4, 36
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\OfferRide\SeatInfo.js", "JavaScript", 0, 0, 40, 0, 0, 0, 1, 4, 45
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\OfferRide\SeatSelectionSheet.js", "JavaScript", 0, 0, 64, 0, 0, 0, 1, 4, 69
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\PaymentMethods\PaymentMethodItem.js", "JavaScript", 0, 0, 59, 0, 0, 0, 1, 4, 64
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\PaymentMethods\PaymentMethodList.js", "JavaScript", 0, 0, 25, 0, 0, 0, 1, 4, 30
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\PickLocation\LocationFooter.js", "JavaScript", 0, 0, 57, 0, 0, 0, 1, 4, 62
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\PickLocation\LocationSearchHeader.js", "JavaScript", 0, 0, 109, 0, 0, 0, 1, 4, 114
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\PickLocation\PickLocationMap.js", "JavaScript", 0, 0, 36, 0, 0, 0, 1, 4, 41
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Profile\Divider.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Profile\LogoutDialog.js", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 4, 58
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Profile\ProfileInputField.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 129, 0, 16, 145
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Profile\ProfileOption.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 3, 37
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Profile\ProfilePicture.js", "JavaScript", 0, 0, 84, 0, 0, 0, 1, 6, 91
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Profile\UpdateButton.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideDetail\CancelRideDialog.js", "JavaScript", 0, 0, 52, 0, 0, 0, 1, 4, 57
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideDetail\PassengerDetail.js", "JavaScript", 0, 0, 50, 0, 0, 0, 1, 5, 56
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideDetail\ReviewInfo.js", "JavaScript", 0, 0, 74, 0, 0, 0, 1, 4, 79
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideDetail\RideDetailFooter.js", "JavaScript", 0, 0, 60, 0, 0, 0, 1, 4, 65
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideDetail\RideDetailHeader.js", "JavaScript", 0, 0, 21, 0, 0, 0, 1, 3, 25
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideDetail\RiderDetail.js", "JavaScript", 0, 0, 97, 0, 0, 0, 1, 3, 101
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideDetail\RiderInfo.js", "JavaScript", 0, 0, 51, 0, 0, 0, 1, 3, 55
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideDetail\VehicleInfo.js", "JavaScript", 0, 0, 31, 0, 0, 0, 1, 4, 36
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideHistory\EmptyRideList.js", "JavaScript", 0, 0, 25, 0, 0, 0, 1, 3, 29
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideHistory\RideHistoryItem.js", "JavaScript", 0, 0, 120, 0, 0, 0, 1, 4, 125
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideHistory\RideHistoryList.js", "JavaScript", 0, 0, 17, 0, 0, 0, 1, 3, 21
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideHistory\RidesHeader.js", "JavaScript", 0, 0, 52, 0, 0, 0, 1, 3, 56
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideMapView\DirectionMap.js", "JavaScript", 0, 0, 95, 0, 0, 0, 1, 6, 102
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideMapView\RideInfoSheet.js", "JavaScript", 0, 0, 140, 0, 0, 0, 1, 9, 150
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideMapView\VerticalDashLine.js", "JavaScript", 0, 0, 16, 0, 0, 0, 1, 3, 20
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideRequest\RequestItem.js", "JavaScript", 0, 0, 152, 0, 0, 0, 1, 8, 161
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideRequest\RequestList.js", "JavaScript", 0, 0, 23, 0, 0, 0, 1, 4, 28
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\RideRequest\RequestSheet.js", "JavaScript", 0, 0, 142, 0, 0, 0, 2, 7, 151
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Rides\NoRidesInfo.js", "JavaScript", 0, 0, 25, 0, 0, 0, 1, 3, 29
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Rides\RideItem.js", "JavaScript", 0, 0, 120, 0, 0, 0, 1, 4, 125
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Rides\RidesHeader.js", "JavaScript", 0, 0, 50, 0, 0, 0, 1, 4, 55
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Rides\RidesList.js", "JavaScript", 0, 0, 17, 0, 0, 0, 1, 2, 20
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Settings\DeleteAccountModal.js", "JavaScript", 0, 0, 72, 0, 0, 0, 0, 4, 76
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Settings\MapSettingsModal.js", "JavaScript", 0, 0, 89, 0, 0, 0, 0, 4, 93
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Settings\OptionsList.js", "JavaScript", 0, 0, 46, 0, 0, 0, 0, 4, 50
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Settings\PasswordModal.js", "JavaScript", 0, 0, 85, 0, 0, 0, 0, 4, 89
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Settings\ProfileSection.js", "JavaScript", 0, 0, 52, 0, 0, 0, 2, 7, 61
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\StartRide\DirectionInfo.js", "JavaScript", 0, 0, 140, 0, 0, 0, 1, 4, 145
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\StartRide\RideInfoSheet.js", "JavaScript", 0, 0, 201, 0, 0, 0, 1, 8, 210
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\StartRide\StartRideButton.js", "JavaScript", 0, 0, 17, 0, 0, 0, 1, 3, 21
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\StartRide\VerticalDashLine.js", "JavaScript", 0, 0, 16, 0, 0, 0, 1, 3, 20
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Transactions\TransactionItem.js", "JavaScript", 0, 0, 56, 0, 0, 0, 1, 4, 61
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Transactions\TransactionList.js", "JavaScript", 0, 0, 20, 0, 0, 0, 1, 4, 25
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\UserVehicleScreen\AddVehicleButton.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 4, 34
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\UserVehicleScreen\SnackBarComponent.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\UserVehicleScreen\StatusModal.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 4, 56
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\UserVehicleScreen\VehicleItem.js", "JavaScript", 0, 0, 79, 0, 0, 0, 1, 5, 85
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\UserVehicleScreen\VehiclesList.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 4, 33
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Wallet\BalanceInfo.js", "JavaScript", 0, 0, 58, 0, 0, 0, 1, 7, 66
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Wallet\WalletHeader.js", "JavaScript", 0, 0, 19, 0, 0, 0, 1, 4, 24
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Wallet\WalletImage.js", "JavaScript", 0, 0, 22, 0, 0, 0, 1, 4, 27
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\Wallet\WalletOption.js", "JavaScript", 0, 0, 63, 0, 0, 0, 2, 5, 70
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\bottomTabBarScreen.js", "JavaScript", 0, 0, 176, 0, 0, 0, 0, 11, 187
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\header.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 3, 38
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\components\myStatusBar.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\constants\Colors.ts", "TypeScript", 0, 0, 0, 0, 47, 0, 0, 7, 54
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\constants\key.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\constants\styles.js", "JavaScript", 0, 0, 277, 0, 0, 0, 0, 52, 329
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\hooks\i18n.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 5, 15
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\hooks\useAddVehicle.js", "JavaScript", 0, 0, 43, 0, 0, 0, 1, 6, 50
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\hooks\useAuth.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 146, 0, 15, 161
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\hooks\useCreateJourney.js", "JavaScript", 0, 0, 48, 0, 0, 0, 2, 11, 61
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\hooks\useDeleteAccount.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\hooks\useDriver.js", "JavaScript", 0, 0, 26, 0, 0, 0, 1, 5, 32
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\hooks\useEditProfile.js", "JavaScript", 0, 0, 90, 0, 0, 0, 0, 13, 103
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\hooks\useFindMatchingJourneys.js", "JavaScript", 0, 0, 57, 0, 0, 0, 9, 12, 78
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\hooks\useLocation.js", "JavaScript", 0, 0, 20, 0, 0, 0, 3, 4, 27
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\hooks\useMapSettings.js", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 7, 69
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\hooks\usePasswordChange.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 4, 39
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\hooks\useUser.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 119, 0, 21, 140
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\hooks\useUserInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 6, 36
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\hooks\useUserProfile.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 8, 38
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\hooks\useUserVehicles.js", "JavaScript", 0, 0, 73, 0, 0, 0, 0, 9, 82
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\locales\en.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 1, 46
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\locales\lt.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 3, 48
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\navigations\AdditionalNavigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 2, 3, 27
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\navigations\AppNavigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 6, 54
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\navigations\EntryNavigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 3, 27
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\navigations\HomeNavigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 62, 0, 3, 65
